#	ID	Chapter	Section	Title	Description	Intent	Kind	Answer Options	Search Mechanic	Source Line
11	q10_appliances	Your Home	inside	Which major appliances do you have?	We'll track manuals, maintenance, and recalls for each, and let you know when anything is still under warranty.	Multi-select appliance capture. Each selected appliance becomes a home_system row so manuals, warranties, and recalls can attach. Supports Select-All and document upload.	multiSelect	Refrigerator | Dishwasher | Range / cooktop | Wall oven | Washer | Dryer | Microwave | Wine fridge | Other | None of these	Select All / Deselect All pill above the options; Custom text input on: Other; Document upload shortcut: category = applianceManual	292
12	q20_other_fuels	Your Home	energyServices	Any other fuel sources?	Propane for the fireplace or stove? Wood or pellets? If it's only for a generator, skip it here, we'll ask next.	Catch fuels not in Q3 (wood, pellet, kerosene). Powers secondary system tracking — woodstove chimney sweep, pellet stove annual service.	multiSelect	Propane (fireplace) | Propane (stove) | Wood (cordwood) | Wood pellets | None	None	646
13	q21_solar	Your Home	backupEnergy	Solar panels?		Solar yes/no creates the Solar system row and seeds panel inspection + inverter service templates. Battery backup follow-up captured in a sub-step.	singleChoice	Yes, owned | Yes, leased | No | Considering	None	673
14	q22_generator	Your Home	backupEnergy	Whole-home generator?	Tell us the type, fuel, and supplier so we can plan refills and load tests. Separate from your home heating fuel, so we track it as its own account.	3-step inline form: generator type (whole-home / portable / none), fuel type, optional provider if different from Q19 heating fuel. Creates Generator system and warranty-linked annual service template.	generatorAdd	Whole-home | Portable | None	3-step inline form: generator type → fuel → same-supplier-as-Q19 confirmation or new provider picker.	685
15	q36_diy_vs_vendor	Your Pros	protectionPeople	How do you want to handle home maintenance?	This shapes your entire task list. You can change it anytime in Settings.	3-tier preference (I handle it / Mix of both / Hire it out). Sets `vendor_preference_tier` attribute. The reconciler reads this when resolving every .either template into personal vs vendor assignment.	singleChoice	I handle it | Mix of both | Hire it out	None	850
16	q11_lawn	Your Pros	outside	Do you have a lawn?		Lawn yes/no plus who handles it. Routes into Q11b lawn type on yes, hides if user picks hardscape/no lawn. 'I pay someone' path captures the vendor via an inline Landscaping provider picker.	singleChoice	Yes, I maintain it | Yes, pro service | No | Mostly garden | Mostly hardscape (patio, gravel, pavers)	"Provider picker scoped to: landscaping; Inline provider search placeholder: ""TruGreen, BrightView, your local crew...""; Provider follow-up step reveals on: ""pro"""	319
17	q11b_lawn_type	Your Pros	outside	Natural grass, turf, or both?	We'll set up the right care schedule for what you actually have.	Natural vs synthetic turf vs mixed. Drives 20 turf-specific templates (brush turf, sanitize pet areas) + natural-lawn templates (aeration, overseed).	singleChoice	Natural grass | Synthetic turf | Mixed (both) | Not sure	dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn)	343
18	q12_pool	Your Pros	outside	Pool or hot tub?		Pool vs hot tub vs both. Each answer path creates a different home system. 'Hot tub' creates the Hot Tub system only; in-ground / above-ground creates Pool with children. Composite subtype preserves pool type AND chemistry.	singleChoice	In-ground pool | Above-ground | Hot tub only | Both | None	"Provider picker scoped to: pool_service; Inline provider search placeholder: ""Leslie's, Pinch A Penny, your pool company...""; Provider follow-up step reveals on: ""in_ground"", ""above_ground"", ""hot_tub"", ""both"""	373
19	q12b_pool_chemistry	Your Pros	outside	Saltwater or chlorine?	We'll set up the right care schedule for your pool's chemistry.	Chlorine vs salt vs not-sure. Composes with Q12's pool subtype (e.g. `pool_inground_salt`) so chemistry-specific templates fire.	singleChoice	Saltwater | Chlorine | Not sure	dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn)	398
20	q13_pest	Your Pros	outside	Pest control?		Pest service yes/no + vendor capture. 'Yes, pro' reveals an inline Pest Control provider picker and mirrors the vendor into the contractor directory.	singleChoice	Recurring pro service | Termite bond | DIY | None	"Provider picker scoped to: pest_control; Inline provider search placeholder: ""Terminix, Orkin, your local exterminator...""; Provider follow-up step reveals on: ""quarterly_pro"", ""termite_bond"""	436
21	q14_irrigation	Your Pros	outside	Sprinkler or irrigation?		Sprinkler yes/no + vendor. 'Yes, pro' captures the irrigation vendor. dynamicSkip hides the question entirely when Q11 = no_lawn.	singleChoice	Yes, full system | Drip only | No	"Provider picker scoped to: irrigation; dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn); Inline provider search placeholder: ""Your sprinkler company...""; Provider follow-up step reveals on: ""full"", ""drip"""	457
22	q15_security	Your Pros	outside	Security or alarm system?		Alarm monitoring yes/no + monitoring provider. Captures the monitoring company via inline provider picker and creates the Security system row.	singleChoice	Yes, monitored | Yes, self-monitored | Cameras only | None	"Provider picker scoped to: security; Inline provider search placeholder: ""ADT, SimpliSafe, Ring, Vivint...""; Provider follow-up step reveals on: ""monitored"""	505
23	q15b_household_contractors	Your Pros	outside	Got any pros on speed dial?	Tell us who handles your HVAC, plumbing, electrical, and other home services so we can plan tasks around their schedule, not yours.	Canonical entry point for captured-vendor household services. Multi-select chips (HVAC service, plumber, electrician, roofer, septic pumper, well services, chimney sweep, tree service, handyman) each reveal an inline provider picker. Each selection mirrors a contractors row + seeds a matching routine.	householdContractors	Handyman | House cleaner | HVAC service | Plumber | Electrician | Roofer | Tree service | Mosquito & tick | Snow removal | Pet waste | Septic pumper | Well water service | Chimney sweep | Hardscape / masonry | Generator service	dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn); Multi-select contractor chips; each selected chip reveals an inline `UtilityProviderSearchPicker` scoped to that contractor type (HVAC service / plumber / electrician / roofer / septic / well / chimney / tree / handyman).	527
24	q16_electric	Your People	energyServices	Who's your electric provider?		Electric utility provider picker. Region-aware ranking (town match > state match > national). Creates a utility_accounts row on pick.	providerSearch		Provider picker scoped to: electric; Document upload shortcut: category = utilityBill; Full-screen provider search picker (`UtilityProviderSearchPicker`) — town-match > state > national ranking, lazy Brandfetch logo enrichment, custom-add path.	570
25	q17_internet	Your People	energyServices	Internet provider?		Internet / cable provider. Milestone card after this one reveals the user's @alfred.havenhome.dev forwarding address.	providerSearch		Provider picker scoped to: internet_cable; Document upload shortcut: category = utilityBill; Full-screen provider search picker (`UtilityProviderSearchPicker`) — town-match > state > national ranking, lazy Brandfetch logo enrichment, custom-add path.	578
26	q18_trash	Your People	energyServices	Trash & recycling?		Trash / recycling provider. Feeds the Dashboard PickupDayBanner reminder cadences downstream.	singleChoice	Municipal | Private hauler | Not sure	"Provider picker scoped to: trash; Provider follow-up step reveals on: ""private"""	586
27	q19_heating_provider	Your People	energyServices	Heating fuel provider?	We'll match this to your refill cadence.	Heating fuel delivery provider. dynamicProviderTypes narrows the picker to Q3's fuel (oil / propane / natural_gas). Skipped entirely for electric / geothermal. Build 86 added same-supplier confirmation card for Q22 generator fuel match.	providerSearch		Provider picker scoped to: oil, propane, natural_gas; dynamicProviderTypes: provider picker computes scope from prior quiz state (e.g. Q19 narrows by Q3 heating fuel); Document upload shortcut: category = utilityBill; Full-screen provider search picker (`UtilityProviderSearchPicker`) — town-match > state > national ranking, lazy Brandfetch logo enrichment, custom-add path.	619
28	q23_vehicle_count	Your People	vehicles	How many cars do you own?		How many vehicles? 0 skips Q24/Q25. Non-zero branches into Q24's per-vehicle VIN capture.	vehicleCount	0 | 1 | 2 | 3 | 4+	None	701
29	q24_vehicle_add	Your People	vehicles	Add your primary car	Type, scan, or upload an insurance card.	Per-vehicle VIN decode via NHTSA + Claude Vision fallback. Auto-populates year/make/model, runs the maintenance-schedule AI, creates the Vehicle row + recall alerts.	vehicleAdd		Document upload shortcut: category = autoInsurance; Per-vehicle VIN decode (NHTSA + Claude Vision fallback) — auto-fills year/make/model and runs the maintenance-schedule AI.	714
30	q25_garage_ev	Your People	vehicles	What kind of garage do you have?		Garage type (attached / semi-attached / detached / carport / none). Feeds maintenance surface (garage door templates). Build 86 split EV charger into its own q25b.	singleChoice	Attached | Semi-attached | Detached | Carport | No garage	None	722
31	q25b_ev_charger	Your People	vehicles	Do you have a Level 2 EV charger?	We'll track your charger and any EV-related maintenance.	EV charger yes/no. Creates the EV Charger (L2) system with annual inspection template. dynamicSkip hides when q25 = none.	singleChoice	Yes, I have an L2 charger | No EV charger	dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn)	740
32	q26_auto_insurance	Your People	protectionPeople	Auto insurance provider?		Auto insurance carrier capture. Creates advisor contact + feeds the scenario studio's coverage-gap questions.	providerSearch		Provider picker scoped to: auto_insurance; Document upload shortcut: category = autoInsurance; Full-screen provider search picker (`UtilityProviderSearchPicker`) — town-match > state > national ranking, lazy Brandfetch logo enrichment, custom-add path.	759
33	q27_homeowners_insurance	Your People	protectionPeople	Homeowners insurance provider?		Homeowners carrier + policy doc upload. Creates advisor contact + feeds estate readiness + gap analysis.	providerSearch		Provider picker scoped to: home_insurance; Document upload shortcut: category = homeownersInsurance; Full-screen provider search picker (`UtilityProviderSearchPicker`) — town-match > state > national ranking, lazy Brandfetch logo enrichment, custom-add path.	767
34	q28_household	Your People	protectionPeople	Who lives here, and who else helps?	Tell us about residents and any caretakers in the household.	Household composition via sub-steps: spouse invite → kids → caretaker → home-manager. Each sub-step persists its own breadcrumb on the Q28 answer. Build 87 added the home-manager sub-step with an inline form that calls HouseholdInviteCoordinator.addPersonToHousehold.	caretakers	Just me | Couple | Family with kids | Multi-generational | Other	4-step inline flow: spouse invite form → kids count → caretaker picker → home-manager invite form.	777
35	q28b_pets	Your People	protectionPeople	Any pets in the household?	So your vendors know, and so we can suggest recurring services that keep pets safe.	Pets yes/no. Drives has_pets flag, surfaces the Pet Waste Removal system, and enables the synthetic-turf 'Sanitize pet areas' template.	singleChoice	Dogs | Cats | Dogs and cats | Other pets | No pets	None	795
36	q29_estate_docs	Your People	protectionPeople	Estate documents you have on hand?		Estate document checklist (will, trust, POA, health proxy). Each checked doc triggers the Life tab's Estate Intake prompt and seeds a placeholder on the Estate Readiness scorecard.	multiSelect	Will | Trust | Power of attorney | Healthcare directive | None yet	Document upload shortcut: category = will	815
37	q30_priorities	Your People	protectionPeople	What matters most? What worries you most?		User's top maintenance / protection priorities. Multi-select; drives the 'Recommended for your home' ordering so the most-relevant templates surface first.	multiSelect	Saving money | Avoiding emergencies | Resale value | Sustainability | Family safety | Hidden problems | Surprise costs | Finding good contractors	None	829
38	q11c_landscaping_months	Unknown	outside	Which months does your landscaping crew usually come?	Select all that apply. Use Select all if they run year-round.	(intent not yet authored — update `audit_quiz_questions.py` INTENT table)	multiSelect		dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn); Select All / Deselect All pill above the options	360
39	q12c_pool_months	Unknown	outside	Which months does your pool company cover?	Select the months they handle opening, weekly care, or closing.	(intent not yet authored — update `audit_quiz_questions.py` INTENT table)	multiSelect		dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn); Select All / Deselect All pill above the options	420
40	q14b_irrigation_months	Unknown	outside	Which months does the irrigation system usually run?	We'll use this to save the active season for startup, checks, and winterization.	(intent not yet authored — update `audit_quiz_questions.py` INTENT table)	multiSelect		dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn); Select All / Deselect All pill above the options	489
41	q18b_trash_day	Unknown	energyServices	Which days should Chez remind you about pickup?	Pick every day bins go out if trash and recycling happen separately.	(intent not yet authored — update `audit_quiz_questions.py` INTENT table)	multiSelect	Sunday | Monday | Tuesday | Wednesday | Thursday | Friday | Saturday	dynamicSkip: question auto-skips based on prior answers (e.g. Q11b skipped when Q11 = no_lawn)	599
