Category	Title	Season	Frequency	Priority	Cost	Who handles	Routing hint	Always pro (safety)	Warranty-linked	DIY minutes	DIY note	Required subtypes	Essential (seeded)	Pro required	Bundle	Bundle title	Regional gate	Max interval (days)	Description	Notes
Chimney	Inspect chimney cap and crown	Fall	Annually	Medium	$0 (bundled with roof) to $200	Vendor (safety-floor, always pro)		true	false				true	true					Roofer or mason inspects the chimney cap, crown, and mortar joints from the roof. Catches animal entry points, damaged screens, and early cracks in the crown before water infiltration damages the flue liner.	Often folded into the annual roof inspection or a chimney-sweep visit.
Chimney	Annual gas fireplace service	Fall	Annually	Medium	$150–$300	Vendor (safety-floor, always pro)		true	false			gas	true	true					Gas tech inspects burner, pilot light, gas connections, thermopile/thermocouple, and logs. Distinct from a sweep — gas fireplaces don't need creosote cleaning but they do need annual gas-side service.	Typically the same HVAC tech who handles your gas furnace can do this, or a specialty gas fireplace service.
Windows	Schedule exterior window re-caulking	Fall	Every 2-3 years	Medium	$200–$500	Vendor (default)		false	false				false	true					Painter or handyman removes failed exterior caulk and applies fresh exterior-grade sealant around windows.	
Garage Door	Test garage door auto-reverse	Any	Annually	High	$0 (part of tune-up)	Vendor (default)		false	false				true	true	Garage Door:annual	Annual Garage Door Tune-up			Tech confirms the auto-reverse safety feature works by placing an object in the door path. Bundled with the annual tune-up.	Modern openers self-monitor between visits.
Garage Door	Lubricate garage door tracks and hardware	Any	Annually	Medium	$0 (part of tune-up)	Vendor (default)		false	false				true	true	Garage Door:annual				Tech applies silicone lubricant to tracks, rollers, hinges, and springs. Part of the annual tune-up.	
Garage Door	Annual garage door tune-up	Any	Annually	Medium	$100–$200	Vendor (default)		false	false				true	true	Garage Door:annual				Inspection of springs, cables, rollers, and opener.	Never attempt spring repair yourself
Landscaping	Mulch garden beds	Spring	Annually	Low	$200–$500	Vendor (default)		false	false				false	true	Landscaping:spring				Landscaper adds 2-3 inches of fresh mulch to garden beds to retain moisture and suppress weeds.	
Landscaping	Prune shrubs and hedges	Spring	Semi-annually	Low	$150–$400	Vendor (default)		false	false				true	true	Landscaping:ongoing	Ongoing Lawn Care			Landscaper trims overgrown shrubs and hedges for health and appearance. Spring and fall.	
Landscaping	Fertilize natural lawn	Spring	Quarterly	Medium	$50–$150	Vendor (default)		false	false			natural_lawn	true	true	Landscaping:spring	Spring Landscaping Service			Landscaper applies seasonal fertilizer appropriate for grass type and season. Three rounds per year keeps roots strong and color deep.	
Landscaping	Core aerate natural lawn	Fall	Annually	Medium	$100–$250	Vendor (default)		false	false			natural_lawn	true	true	Landscaping:fall				Landscaper pulls soil plugs to reduce compaction and let water and nutrients reach roots. Paired with fall overseeding.	
Landscaping	Overseed bare patches	Fall	Annually	Medium	$30–$120	Vendor (default)		false	false			natural_lawn	true	true	Landscaping:fall				Landscaper spreads fresh seed in thin or bare areas. Best paired with fall aeration so seed-to-soil contact is maximized.	Cool-season grasses seed best in early fall
Landscaping	Pre-emergent weed control	Spring	Annually	Medium	$30–$80	Vendor (default)		false	false			natural_lawn	true	true	Landscaping:spring				Landscaper applies pre-emergent herbicide before crabgrass and other weeds germinate.	Timed to soil temps in the low 50s — usually mid-March to mid-April in {state}
Landscaping	Dethatch lawn	Spring	Annually	Low	$50–$150	Vendor (default)		false	false			natural_lawn	false	true	Landscaping:fall				"Landscaper uses a power rake or thatching attachment to remove built-up thatch. Skipped when thatch is under 1/2\""."	
Landscaping	Soil pH test and lime application	Fall	Every 2 years	Low	$80–$200	Vendor (default)		false	false			natural_lawn	false	true					Landscaper tests soil pH and applies lime as needed to bring pH back to 6.0-7.0 where grass thrives.	
Landscaping	Fall leaf cleanup	Fall	Annually	Medium	$200–$600	Vendor (default)		false	false			natural_lawn	true	true	Landscaping:fall	Fall Landscaping Service			Landscaping crew clears leaves from the lawn and garden beds. Letting them sit through winter smothers the grass and invites snow mold.	
Landscaping	Top up turf infill	Spring	Annually	Medium	$150–$400	Vendor (default)		false	false			synthetic_turf	true	true					Turf specialist refreshes the rubber or sand infill that supports the fibers. Infill migrates over time from rain, foot traffic, and grooming.	
Landscaping	Power rake and groom turf	Spring	Semi-annually	Low	$150–$400	Vendor (default)		false	false			synthetic_turf	true	true					Turf specialist power-rakes and grooms the turf to lift fibers and redistribute infill. Keeps the turf looking new through year 15+.	
Landscaping	Deep clean synthetic turf	Spring	Every 2 years	Low	$300–$800	Vendor (default)		false	false			synthetic_turf	false	true					Turf cleaning service extracts embedded debris, pollen, and pet residue from the infill layer. Extends turf life by years.	
Landscaping	Outdoor lighting service	Spring	Annually	Low	$150-400	Vendor (default)		false	false			has_outdoor_lighting	false	true					Lighting specialist checks the low-voltage transformer, replaces failed LEDs, adjusts timers and photocells, inspects and cleans fixtures, and re-aims uplights after any landscape changes.	HNW landscape lighting investment warrants a dedicated vendor.
Landscaping	Arborist tree health inspection	Fall	Annually	High	$200–$500	Vendor (safety-floor, always pro)		true	false			mature_trees	false	true					Certified arborist inspects mature trees for disease, structural weakness, and storm risk. Liability protection — falling tree damage is often excluded from home insurance if due to visible neglect.	Best done in early fall before leaf-out obscures the structural picture.
Landscaping	Pressure wash patio and walkways	Spring	Annually	Medium	$200–$500	Flexible (defaults match preference tier)		false	false	120		hardscape	true	false					Pressure wash stone, paver, and concrete hardscape surfaces to clear winter grime, mildew, and algae. Use a fan tip and avoid stripping joint sand.	About 2 hours DIY. Pros finish faster and catch what a homeowner would miss.
Landscaping	Top up joint sand in pavers	Summer	Every 2 years	Low	$80–$200	Flexible (defaults match preference tier)		false	false	60		hardscape	true	false					Sweep polymeric joint sand into paver gaps where it has washed out. Mist lightly to set the polymer. Prevents weed germination and keeps pavers locked.	About 1 hour DIY.
Landscaping	Treat weeds between pavers	Spring	Quarterly	Low	$40–$120	Flexible (defaults match preference tier)		false	false	30		hardscape	true	false					Spot-treat weeds growing between pavers and along hardscape edges. Pull large clumps by hand first, then apply a targeted herbicide or boiling water.	About 30 minutes DIY.
Landscaping	Check hardscape drainage and grading	Fall	Annually	Medium	$0 DIY / $150–$400 pro inspection	Flexible (defaults match preference tier)		false	false	30		hardscape	true	false					Walk hardscape edges after a rain to confirm water is moving away from the house. Look for sunken pavers, ponding, and drainage swales that have silted in.	About 30 minutes DIY. A landscaping contractor will catch grading issues that aren't obvious to a homeowner.
Irrigation	Winterize irrigation system	Fall	Annually	High	$75–$150	Vendor (default)		false	false				true	true					Professional blow-out of irrigation lines to prevent freeze damage.	Must be done before first freeze
Irrigation	Spring startup irrigation	Spring	Annually	High	$75–$150	Vendor (default)		false	false				true	true					Irrigation service gradually pressurizes the system, checks for leaks, and adjusts heads.	
Irrigation	Backflow preventer test	Spring	Annually	High	$75–$150	Vendor (default)		false	false				true	true					Licensed backflow tester verifies the assembly prevents irrigation water from contaminating the potable supply. Legally required annually in most municipalities.	Your water utility may send an annual reminder. Many irrigation services include the test with spring startup.
Pool/Spa	Pool opening service	Spring	Annually	High	$200–$400	Vendor (default)		false	false			pool	true	true	Pool/Spa:opening	Pool Opening Service			Pool service removes the cover, starts up equipment, balances chemicals, and inspects.	
Pool/Spa	Pool closing and winterization	Fall	Annually	High	$200–$400	Vendor (default)		false	false			pool	true	true	Pool/Spa:closing	Pool Closing Service			Pool service handles chemical treatment, lowers water level, blows out lines, and installs cover.	
Pool/Spa	Inspect pool equipment	Spring	Annually	Medium	$0 (part of opening)	Vendor (default)		false	false			pool	true	true	Pool/Spa:opening				Pool service checks pump, heater, filter, and automation for proper operation during opening.	Done during opening
Pool/Spa	Pool heater service	Spring	Annually	Medium	$150-400	Vendor (safety-floor, always pro)		true	false			pool	false	true					Pool heater specialist services the heater — gas heaters get a combustion check, burner cleaning, and pilot/igniter inspection; heat pumps get refrigerant, coil, and defrost-cycle verification. Annual service doubles heater lifespan.	Pair with pool opening so the heater is ready for the first cool spring night.
Pool/Spa	Test and sanitize hot tub water	Any	Weekly	High	$10–$20/month	Flexible (defaults match preference tier)		false	false	10		hot_tub	false	false					Test bromine/chlorine, pH, and alkalinity. Add sanitizer as needed.	Target: pH 7.2-7.8, sanitizer 3-5 ppm.
Pool/Spa	Drain and refill hot tub	Any	Quarterly	Medium	$0–$150	Flexible (defaults match preference tier)		false	false	45		hot_tub	true	false					Drain the tub completely, wipe the shell, and refill with fresh water. Can be DIY or scheduled with a spa service.	Plan for 2-3 hours including drain and refill time.
Pool/Spa	Inspect hot tub cover and jets	Spring	Annually	Medium	$0–$400 (if cover replacement)	Flexible (defaults match preference tier)		false	false	20		hot_tub	true	false					Check the cover for cracks or waterlogging. Test each jet for pressure and aim.	A waterlogged cover is inefficient and should be replaced.
Pool/Spa	Pool safety fence inspection	Spring	Annually	High	$0 (DIY) or $100 (fence service)	Flexible (defaults match preference tier)		false	false	15		pool, has_pool_safety_fence	true	false					"Inspect the pool safety fence and gate: self-closing mechanism, latch height (at least 54\""), no gaps greater than 4\"", and any damaged mesh or posts. Required by law in CT and many HNW municipalities."	Pair with pool opening. Fence service can handle if the gate needs adjustment.
Appliance	Clean dryer vent duct	Any	Annually	High	$100–$200	Vendor (default)		false	false				true	true					Dryer vent service cleans the full vent duct run. Lint accumulation is the leading cause of dryer fires after cooking equipment.	Often folded into the fall handyman visit.
Appliance	Replace refrigerator water filter	Any	Semi-annually	Medium	$30–$60	DIY (always — surfaces as personal task)	Surfaces as DIY	false	false	10		has_fridge_water_dispenser	true	false					Replace the built-in water/ice filter per the manufacturer's schedule. Most fridge filters are rated for 6 months regardless of throughput.	Check your fridge manual for the exact filter part number. Some manufacturers offer subscriptions that auto-ship.
Appliance	Built-in grill service	Spring	Annually	Medium	$200-500	Vendor (safety-floor, always pro)		true	false			has_built_in_grill	false	true					Grill specialist deep-cleans burners, grates, and the firebox; runs a gas-line pressure test; inspects the igniter and thermocouples; replaces worn parts. Protects the outdoor kitchen investment and keeps gas connections safe.	Schedule before grilling season starts.
Pest Control	Termite inspection	Spring	Annually	High	$75–$150	Vendor (default)		false	false				true	true					Pest control company inspects for termite and wood-destroying insect activity.	Required for many home warranties
Generator	Change generator oil	Any	Annually	Medium	$80–$200	Vendor (default)		false	false				true	true	Generator:annual	Annual Generator Service			Generator tech drains and replaces oil per manufacturer schedule. Standby generators run hot and the oil drain is awkward.	Every 200 hours or annually
Generator	Replace spark plugs	Any	Annually	Low	$50–$100	Vendor (default)		false	false				true	true	Generator:annual				Replace spark plugs per manufacturer recommendations. Usually done as part of annual service.	
Generator	Annual generator service	Fall	Annually	High	$200–$400	Vendor (safety-floor, always pro)		true	true				true	true	Generator:annual			420	Full service including all fluids, filters, and electrical check.	Before winter storm season
Generator	Test automatic transfer switch	Any	Annually	High	$100–$200	Vendor (default)		false	false				true	true	Generator:annual				Test of transfer switch operation during annual service.	
Security System	Annual security system check	Any	Annually	Medium	$75–$200	Vendor (default)		false	false				true	true	Security System:annual	Annual Security System Check			Alarm company walk-tests each sensor, confirms panel connectivity, and replaces sensor batteries. Monitored systems self-test between visits — this is the annual confirmation that everything is still registering.	
Security System	Replace sensor batteries	Any	Annually	Medium	$0 (part of walk-test)	Vendor (default)		false	false				true	true	Security System:annual				Alarm tech replaces batteries in door/window sensors and motion detectors. Bundled with the annual walk-test.	
Solar	Solar panel cleaning	Any	Annually	Medium	$150–$300	Vendor (safety-floor, always pro)		true	false				true	true					Cleaning to remove dirt, pollen, and bird droppings.	Can significantly improve output
Solar	Solar system inspection	Any	Every 3-5 years	Medium	$150–$300	Vendor (safety-floor, always pro)		true	false				true	true					Comprehensive inspection of panels, wiring, inverter, and mounting.	
Crawl Space	Check vapor barrier condition	Any	Annually	Medium	$0 (part of annual visit)	Vendor (default)		false	false				true	true	Crawl Space:annual	Annual Crawl Space Inspection			Crawl-space or waterproofing pro inspects the plastic vapor barrier for tears, displacement, or gaps.	
Crawl Space	Inspect for mold or mildew	Any	Annually	High	$0 (part of annual visit)	Vendor (default)		false	false				true	true	Crawl Space:annual				Pro visually inspects joists, insulation, and walls for mold growth.	Professional remediation if found
Crawl Space	Check foundation for cracks	Spring	Annually	High	$0 (part of annual visit)	Vendor (default)		false	false				true	true	Crawl Space:annual				Pro inspects foundation walls for new or expanding cracks and marks any findings.	
Handyman	Spring handyman visit	Spring	Annually	Medium	$300-800	Vendor (default)		false	false				true	true	Handyman:spring	Spring Handyman Visit			Seasonal walkthrough and punch list. Your handyman handles small repairs, caulking touch-ups, filter swaps, and anything that's accumulated since the last visit.	""""" What's typically covered in a spring handyman visit:  HVAC • Air filter swap (buy a case, swap during visit) • Mini-split filter rinse (if applicable)  Plumbing • Washing machine supply hose visual check • Sump pump test (if applicable) • Well cap and pressure tank visual (if well home) • Water softener brine tank visual (if applicable) • Whole-house filter swap (if applicable)  Exterior • Caulking touch-up around windows and doors • Driveway crack sealcoat spot-fill • Deck/fence screw check • Foundation grading walkaround • Retaining wall condition check  Safety • Smoke and CO detector battery swap • Fire extinguisher gauge check • Camera perimeter walk-past • Verify smoke and CO detectors (self-test confirmation) • Test GFCI outlets  Appliances • Refrigerator coil vacuum (if accessible) • Dishwasher spray arm clean (if not covered by housekeeper) • Ice maker filter replacement (if due)  Other (conditional) • Crawl space visual for moisture (if applicable) • Dehumidifier operation test (if applicable) • Septic drain field walkaround (if applicable) • Smart leak system test (if applicable) • Turf drainage spot-check (synthetic turf homes)  Add anything you've been meaning to get to — that's what the handyman is for. """""
Handyman	Fall handyman visit	Fall	Annually	Medium	$300-800	Vendor (default)		false	false				true	true	Handyman:fall	Fall Handyman Visit			Pre-winter walkthrough and punch list. Your handyman handles weatherproofing, hose-bib winterization, storm door prep, attic insulation check, and any accumulated punch-list items.	""""" What's typically covered in a fall handyman visit:  Weatherization • Exterior faucet winterization and hose bib covers • Storm door and weatherstripping check (windows + doors) • Window AC removal and storage (if applicable) • Door hinge and lock lubrication  HVAC • Air filter swap (heating season) • Attic insulation check before heating season  Generator (if applicable) • Oil level check • Confirm weekly exercise cycle visually  Safety • Smoke and CO detector battery swap • Smoke detector age check (replace if 9+ years — bring spares) • Fire extinguisher gauge check • Camera perimeter walk-past • Verify smoke and CO detectors (self-test confirmation)  Plumbing • Drain cleaning and sink trap check • Hose bib shutoff valve test  Exterior • Seal gaps around pipes and utility entries (pest prevention) • Firebox and damper check (wood-burning fireplaces)  Other (conditional) • Central vacuum service (if applicable) • Radon mitigation fan check (if applicable)  Add anything you've been meaning to get to. """""
Handyman	Test smart water leak system	Spring	Annually	Medium	(bundled)	Vendor (default)		false	false			has_leak_detector	false	false	Handyman:spring				Exercise the shutoff valve, test each leak sensor, confirm the app connectivity (Moen Flo, Phyn, etc.). Quick handyman task that lands on the spring visit.	
Handyman	Service central vacuum system	Fall	Annually	Low	(bundled)	Vendor (default)		false	false			has_central_vacuum	false	false	Handyman:fall				Empty the canister, replace the bag or filter, inspect the hose and attachments, and clear any wall-port clogs. Easy to overlook — lands on the fall handyman visit.	
Handyman	Verify radon mitigation fan	Fall	Annually	High	(bundled)	Vendor (default)		false	false			has_radon_mitigation	true	false	Handyman:fall		northeast		Confirm the mitigation fan reads correctly on its manometer — the fan should run continuously. If the manometer is flat on both sides, the fan has failed and needs replacement.	Lands on the fall handyman visit alongside smoke detector checks.
Handyman	Replace smoke & CO detector batteries	Spring	Semi-annually	High	(bundled)	Vendor (default)		false	false	15			true	false	Handyman:spring				Swap batteries in every smoke and CO detector. Modern sealed 10-year detectors don't need this, but most homes still have a mix of battery-powered units that the handyman catches in one visit.	
Handyman	Inspect exterior caulking around windows & doors	Spring	Annually	Medium	(bundled)	Vendor (default)		false	false	30			true	false	Handyman:spring				Walk the exterior and check the caulk bead around every window and door. The handyman spot-recaulks any gaps or separations before spring rains.	
Handyman	Foundation walkaround: cracks and grading	Spring	Annually	High	(bundled)	Vendor (default)		false	false	20			true	false	Handyman:spring				Walk the foundation perimeter. Check for new cracks, signs of efflorescence, and areas where soil has settled and now slopes toward the house.	
Handyman	Check washing machine supply hoses	Spring	Annually	High	(bundled)	Vendor (default)		false	false	10			true	false	Handyman:spring				Inspect the hot and cold supply hoses behind the washing machine for bulges, cracks, or moisture. Burst hoses are the #1 source of catastrophic laundry-room water damage.	
Handyman	Test sump pump function	Spring	Annually	High	(bundled)	Vendor (default)		false	false	10		sump_pump	true	false	Handyman:spring				Pour a few gallons of water into the sump pit and confirm the pump kicks on and discharges. Catches pumps that have silently seized over winter.	Distinct from the Phase 62 battery backup test — this one confirms the primary pump still cycles.
Handyman	Test GFCI outlets throughout house	Spring	Annually	High	(bundled)	Vendor (default)		false	false	15			true	false	Handyman:spring				Press the TEST button on every GFCI outlet (kitchen, bathrooms, garage, exterior) and confirm it trips and resets. A GFCI that won't trip is a safety failure.	
Handyman	Test smoke and CO detector alarms	Spring	Semi-annually	High	(bundled)	Vendor (default)		false	false	10			true	false	Handyman:spring				Hold the TEST button on every alarm to confirm the sounder works. Separate from battery swap — this verifies the audio circuit.	
Handyman	Replace HVAC filter (cooling season)	Spring	Semi-annually	Medium	(bundled)	Vendor (default)		false	false	5		ducted	true	false	Handyman:spring				Swap to a fresh filter heading into cooling season. The handyman stocks the right size for your system so you don't have to remember.	
Handyman	Ceiling fan direction switch (summer)	Spring	Semi-annually	Low	(bundled)	Vendor (default)		false	false	10			true	false	Handyman:spring				Flip ceiling fans to counter-clockwise for downward airflow during cooling season. Reachable units only — the handyman handles the ones requiring a ladder.	
Handyman	Reopen exterior faucets post-winter	Spring	Annually	Medium	(bundled)	Vendor (default)		false	false	10			true	false	Handyman:spring		northeast		Confirm every exterior faucet reopens without leaks after winter. Split pipes behind the spigot reveal themselves the first time you turn on the hose.	
